id,goes_class,noaa_active_region,peak_time,start_time,end_time,ssw_location
gev_20091223_0336,B8.6,0,2009-12-23 03:56:00,2009-12-23 03:36:00,2009-12-23 04:05:00,POINT(54 16)
gev_20091223_0945,B1.6,0,2009-12-23 09:51:00,2009-12-23 09:45:00,2009-12-23 09:54:00,POINT(66 -29)
gev_20091223_1009,C6.4,0,2009-12-23 10:17:00,2009-12-23 10:09:00,2009-12-23 10:20:00,POINT(61 -27)
gev_20091223_1126,B3.2,0,2009-12-23 11:33:00,2009-12-23 11:26:00,2009-12-23 11:46:00,POINT(69 -27)
gev_20091223_1241,B3.5,0,2009-12-23 12:48:00,2009-12-23 12:41:00,2009-12-23 12:50:00,POINT(66 -24)
gev_20091225_2313,B1.0,0,2009-12-25 23:26:00,2009-12-25 23:13:00,2009-12-25 23:40:00,POINT(-56 -28)
gev_20091226_0725,B1.4,0,2009-12-26 07:30:00,2009-12-26 07:25:00,2009-12-26 07:39:00,POINT(-50 -27)
gev_20091226_0854,B1.9,0,2009-12-26 09:00:00,2009-12-26 08:54:00,2009-12-26 09:20:00,POINT(-54 -29)
gev_20091226_1217,B1.0,0,2009-12-26 12:20:00,2009-12-26 12:17:00,2009-12-26 12:23:00,POINT(-48 -26)
gev_20091226_1651,B4.8,0,2009-12-26 16:57:00,2009-12-26 16:51:00,2009-12-26 17:05:00,POINT(-43 -27)
gev_20091226_1809,B1.7,0,2009-12-26 18:12:00,2009-12-26 18:09:00,2009-12-26 18:15:00,POINT(-46 -28)
gev_20091226_1838,B4.6,0,2009-12-26 18:43:00,2009-12-26 18:38:00,2009-12-26 18:48:00,POINT(-43 -27)
gev_20091227_0721,B2.9,0,2009-12-27 07:30:00,2009-12-27 07:21:00,2009-12-27 07:33:00,POINT(-36 -27)
gev_20091227_1128,B7.6,0,2009-12-27 11:39:00,2009-12-27 11:28:00,2009-12-27 11:57:00,POINT(-34 -26)
gev_20091230_2300,B4.8,0,2009-12-30 23:03:00,2009-12-30 23:00:00,2009-12-30 23:08:00,POINT(9 -28)
gev_20091230_2348,B2.3,0,2009-12-30 23:51:00,2009-12-30 23:48:00,2009-12-30 23:53:00,POINT(11 -27)
gev_20091230_2354,B1.6,0,2009-12-31 00:02:00,2009-12-30 23:54:00,2009-12-31 00:08:00,POINT(12 -26)
gev_20091231_0042,B2.6,0,2009-12-31 00:48:00,2009-12-31 00:42:00,2009-12-31 01:00:00,POINT(10 -27)
gev_20091231_0107,B3.1,0,2009-12-31 01:12:00,2009-12-31 01:07:00,2009-12-31 01:16:00,POINT(10 -27)
gev_20091231_0330,B2.6,0,2009-12-31 04:17:00,2009-12-31 03:30:00,2009-12-31 04:39:00,POINT(17 -26)
gev_20091231_0742,B2.9,0,2009-12-31 07:47:00,2009-12-31 07:42:00,2009-12-31 07:50:00,POINT(13 -29)
gev_20091231_1024,B1.9,0,2009-12-31 10:27:00,2009-12-31 10:24:00,2009-12-31 10:29:00,POINT(16 -28)
gev_20091231_1054,B1.6,0,2009-12-31 10:59:00,2009-12-31 10:54:00,2009-12-31 11:06:00,POINT(16 -27)
gev_20091231_1115,B1.9,0,2009-12-31 11:20:00,2009-12-31 11:15:00,2009-12-31 11:31:00,POINT(18 -29)
gev_20091231_1429,B1.3,0,2009-12-31 14:32:00,2009-12-31 14:29:00,2009-12-31 14:51:00,POINT(17 -28)
gev_20091231_1537,B1.5,0,2009-12-31 15:42:00,2009-12-31 15:37:00,2009-12-31 15:46:00,POINT(17 -28)
gev_20091231_1902,B1.8,0,2009-12-31 19:06:00,2009-12-31 19:02:00,2009-12-31 19:10:00,POINT(23 -31)
gev_20100101_1202,B1.9,0,2010-01-01 12:09:00,2010-01-01 12:02:00,2010-01-01 12:18:00,POINT(31 -29)
gev_20100101_1233,B2.3,0,2010-01-01 12:43:00,2010-01-01 12:33:00,2010-01-01 13:00:00,POINT(34 -24)
gev_20100101_2329,B1.1,0,2010-01-01 23:33:00,2010-01-01 23:29:00,2010-01-01 23:42:00,POINT(39 -25)
gev_20100102_0758,B6.4,0,2010-01-02 08:05:00,2010-01-02 07:58:00,2010-01-02 08:13:00,POINT(38 -25)
gev_20091213_0917,B1.4,1034,2009-12-13 09:25:00,2009-12-13 09:17:00,2009-12-13 09:28:00,POINT(-26 22)
gev_20091213_1658,B1.8,1034,2009-12-13 17:02:00,2009-12-13 16:58:00,2009-12-13 17:05:00,POINT(-21 19)
gev_20091213_1749,B1.0,0,2009-12-13 17:52:00,2009-12-13 17:49:00,2009-12-13 17:54:00,POINT(-65 -23)
gev_20091213_1838,B1.5,1034,2009-12-13 18:43:00,2009-12-13 18:38:00,2009-12-13 18:45:00,POINT(-20 20)
gev_20091213_1959,B1.0,1034,2009-12-13 20:02:00,2009-12-13 19:59:00,2009-12-13 20:05:00,POINT(-19 20)
gev_20091214_0844,B1.4,1035,2009-12-14 08:48:00,2009-12-14 08:44:00,2009-12-14 08:50:00,POINT(-16 30)
gev_20091214_0855,B1.7,0,2009-12-14 08:58:00,2009-12-14 08:55:00,2009-12-14 09:00:00,POINT(-17 30)
gev_20091214_1811,B1.4,1035,2009-12-14 18:15:00,2009-12-14 18:11:00,2009-12-14 18:21:00,POINT(-10 28)
gev_20091214_1948,B2.7,1034,2009-12-14 20:17:00,2009-12-14 19:48:00,2009-12-14 20:25:00,POINT(-7 20)
gev_20091214_2335,B4.1,1035,2009-12-14 23:39:00,2009-12-14 23:35:00,2009-12-14 23:42:00,POINT(-7 29)
gev_20091215_0039,B1.2,0,2009-12-15 00:46:00,2009-12-15 00:39:00,2009-12-15 00:57:00,POINT(89 -19)
gev_20091215_0401,B1.0,0,2009-12-15 04:06:00,2009-12-15 04:01:00,2009-12-15 04:15:00,POINT(89 -20)
gev_20091215_1114,B1.0,1035,2009-12-15 11:17:00,2009-12-15 11:14:00,2009-12-15 11:20:00,POINT(0 28)
gev_20091215_1328,B1.3,0,2009-12-15 13:34:00,2009-12-15 13:28:00,2009-12-15 13:39:00,POINT(-43 -30)
gev_20091215_1514,B2.0,1034,2009-12-15 15:20:00,2009-12-15 15:14:00,2009-12-15 15:32:00,POINT(6 18)
gev_20091215_2317,B2.7,1034,2009-12-15 23:23:00,2009-12-15 23:17:00,2009-12-15 23:37:00,POINT(8 20)
gev_20091216_0102,C5.3,1035,2009-12-16 01:24:00,2009-12-16 01:02:00,2009-12-16 01:35:00,POINT(6 29)
gev_20091216_0317,B6.4,1035,2009-12-16 03:20:00,2009-12-16 03:17:00,2009-12-16 03:26:00,POINT(9 29)
gev_20091216_0725,B3.0,0,2009-12-16 07:28:00,2009-12-16 07:25:00,2009-12-16 07:34:00,POINT(-89 13)
gev_20091216_0745,B6.9,1035,2009-12-16 08:01:00,2009-12-16 07:45:00,2009-12-16 08:16:00,POINT(11 27)
gev_20091216_0834,B8.6,1035,2009-12-16 08:37:00,2009-12-16 08:34:00,2009-12-16 08:39:00,POINT(11 28)
gev_20091216_1236,C3.7,1035,2009-12-16 13:02:00,2009-12-16 12:36:00,2009-12-16 13:20:00,POINT(15 28)
gev_20091216_2135,C1.4,1035,2009-12-16 21:49:00,2009-12-16 21:35:00,2009-12-16 22:25:00,POINT(17 29)
gev_20091217_0306,B5.1,1035,2009-12-17 03:10:00,2009-12-17 03:06:00,2009-12-17 03:16:00,POINT(22 29)
gev_20091217_0712,B4.6,1034,2009-12-17 07:15:00,2009-12-17 07:12:00,2009-12-17 07:18:00,POINT(30 20)
gev_20091217_0933,B7.0,1035,2009-12-17 09:37:00,2009-12-17 09:33:00,2009-12-17 09:41:00,POINT(25 33)
gev_20091217_1501,B9.7,1034,2009-12-17 15:13:00,2009-12-17 15:01:00,2009-12-17 15:17:00,POINT(34 23)
gev_20091217_1656,B2.5,1037,2009-12-17 17:00:00,2009-12-17 16:56:00,2009-12-17 17:03:00,POINT(-89 15)
gev_20091217_2112,B2.4,1034,2009-12-17 21:21:00,2009-12-17 21:12:00,2009-12-17 21:28:00,POINT(32 20)
gev_20091218_0109,B2.0,1037,2009-12-18 01:32:00,2009-12-18 01:09:00,2009-12-18 01:58:00,POINT(-83 15)
gev_20091218_0204,B5.6,1035,2009-12-18 02:13:00,2009-12-18 02:04:00,2009-12-18 02:17:00,POINT(32 29)
gev_20091218_0429,B3.1,1035,2009-12-18 04:33:00,2009-12-18 04:29:00,2009-12-18 04:39:00,POINT(34 26)
gev_20091218_0745,B2.5,0,2009-12-18 07:48:00,2009-12-18 07:45:00,2009-12-18 07:52:00,POINT(-35 -18)
gev_20091218_1030,B2.2,1037,2009-12-18 10:38:00,2009-12-18 10:30:00,2009-12-18 10:44:00,POINT(-79 16)
gev_20091218_1116,B1.8,0,2009-12-18 11:22:00,2009-12-18 11:16:00,2009-12-18 11:25:00,POINT(-33 -17)
gev_20091218_1404,B3.1,1035,2009-12-18 14:10:00,2009-12-18 14:04:00,2009-12-18 14:16:00,POINT(41 27)
gev_20091218_1610,B5.1,1035,2009-12-18 16:23:00,2009-12-18 16:10:00,2009-12-18 16:31:00,POINT(42 27)
gev_20091218_1659,B2.5,1037,2009-12-18 17:03:00,2009-12-18 16:59:00,2009-12-18 17:06:00,POINT(-73 16)
gev_20091218_1820,B5.4,1035,2009-12-18 18:27:00,2009-12-18 18:20:00,2009-12-18 18:30:00,POINT(41 26)
gev_20091218_1848,C7.6,1035,2009-12-18 18:55:00,2009-12-18 18:48:00,2009-12-18 18:58:00,POINT(41 27)
gev_20091218_1917,B2.8,1034,2009-12-18 19:20:00,2009-12-18 19:17:00,2009-12-18 19:23:00,POINT(43 19)
gev_20091218_2032,B2.7,0,2009-12-18 20:38:00,2009-12-18 20:32:00,2009-12-18 20:42:00,POINT(66 16)
gev_20091218_2116,B3.6,1035,2009-12-18 21:24:00,2009-12-18 21:16:00,2009-12-18 21:27:00,POINT(44 27)
gev_20091218_2158,B1.9,1035,2009-12-18 22:02:00,2009-12-18 21:58:00,2009-12-18 22:05:00,POINT(44 27)
gev_20091218_2337,B2.0,1037,2009-12-18 23:43:00,2009-12-18 23:37:00,2009-12-18 23:45:00,POINT(-65 15)
gev_20091218_2353,B3.1,1034,2009-12-18 23:58:00,2009-12-18 23:53:00,2009-12-19 00:01:00,POINT(51 20)
gev_20091219_0010,C2.9,1035,2009-12-19 00:14:00,2009-12-19 00:10:00,2009-12-19 00:17:00,POINT(44 29)
gev_20091219_0104,B7.4,1035,2009-12-19 01:09:00,2009-12-19 01:04:00,2009-12-19 01:12:00,POINT(46 28)
gev_20091219_0136,B9.1,1035,2009-12-19 01:53:00,2009-12-19 01:36:00,2009-12-19 01:55:00,POINT(45 28)
gev_20091219_0648,B1.4,1035,2009-12-19 06:53:00,2009-12-19 06:48:00,2009-12-19 06:56:00,POINT(46 28)
gev_20091219_0716,B1.2,1035,2009-12-19 07:19:00,2009-12-19 07:16:00,2009-12-19 07:22:00,POINT(49 27)
gev_20091219_1030,B1.5,0,2009-12-19 10:35:00,2009-12-19 10:30:00,2009-12-19 10:39:00,POINT(74 16)
gev_20091219_1108,B6.6,0,2009-12-19 11:13:00,2009-12-19 11:08:00,2009-12-19 11:19:00,POINT(75 16)
gev_20091220_1140,B1.5,0,2009-12-20 11:45:00,2009-12-20 11:40:00,2009-12-20 11:49:00,POINT(58 30)
gev_20091220_1416,B2.3,0,2009-12-20 14:20:00,2009-12-20 14:16:00,2009-12-20 14:25:00,POINT(67 24)
gev_20091220_1540,B1.9,1036,2009-12-20 15:43:00,2009-12-20 15:40:00,2009-12-20 15:46:00,POINT(25 -30)
gev_20091220_1737,B1.6,1036,2009-12-20 17:41:00,2009-12-20 17:37:00,2009-12-20 17:43:00,POINT(29 -29)
gev_20091220_2027,B2.6,1035,2009-12-20 20:31:00,2009-12-20 20:27:00,2009-12-20 20:37:00,POINT(71 30)
gev_20091220_2320,B2.7,0,2009-12-20 23:24:00,2009-12-20 23:20:00,2009-12-20 23:30:00,POINT(-15 -23)
gev_20091221_0108,B1.6,1035,2009-12-21 01:13:00,2009-12-21 01:08:00,2009-12-21 01:16:00,POINT(73 30)
gev_20091221_1904,B1.6,1038,2009-12-21 19:07:00,2009-12-21 19:04:00,2009-12-21 19:09:00,POINT(35 16)
gev_20091221_2334,B4.1,1036,2009-12-21 23:38:00,2009-12-21 23:34:00,2009-12-21 23:40:00,POINT(41 -27)
gev_20091222_0356,B5.2,0,2009-12-22 04:01:00,2009-12-22 03:56:00,2009-12-22 04:04:00,POINT(78 27)
gev_20091222_0450,C7.2,1036,2009-12-22 04:56:00,2009-12-22 04:50:00,2009-12-22 05:00:00,POINT(44 -28)
gev_20091222_1125,B4.5,1038,2009-12-22 11:29:00,2009-12-22 11:25:00,2009-12-22 11:34:00,POINT(45 16)
gev_20091222_1317,B2.7,1036,2009-12-22 13:21:00,2009-12-22 13:17:00,2009-12-22 13:25:00,POINT(49 -27)
gev_20091222_1400,C1.0,1038,2009-12-22 14:10:00,2009-12-22 14:00:00,2009-12-22 14:20:00,POINT(46 15)
