flare_id, event_date, start_time         , peak_time          , end_time           , goes_class, goes_location, noaa_active_region, fl_location                   , x_hpc              , y_hpc              , y                   , x                    , centroids                     , fl_lat, fl_lon
       0, 2010-01-01, 2010-01-01 12:02:00, 2010-01-01 12:09:00, 2010-01-01 12:18:00, B1.9      , "(0, 0)"     ,                  0,                               ,                    ,                    ,                     ,                      ,                               ,       , 
       1, 2010-01-01, 2010-01-01 12:33:00, 2010-01-01 12:43:00, 2010-01-01 13:00:00, B2.3      , "(0, 0)"     ,                  0,                               ,                    ,                    ,                     ,                      ,                               ,       , 
       2, 2010-01-01, 2010-01-01 23:29:00, 2010-01-01 23:33:00, 2010-01-01 23:42:00, B1.1      , "(0, 0)"     ,                  0,                               ,                    ,                    ,                     ,                      ,                               ,       , 
       3, 2010-01-02, 2010-01-02 03:10:00, 2010-01-02 03:13:00, 2010-01-02 03:19:00, B1.1      , "(0, 0)"     ,              11039,                               ,                    ,                    ,                     ,                      ,                               ,       , 
       4, 2010-01-02, 2010-01-02 07:09:00, 2010-01-02 07:24:00, 2010-01-02 07:40:00, C1.0      , "(37, -29)"  ,              11039, "(37, -29)"                   , 515.2415327049395  , -436.1751361916002 , -0.48480962024633706, 0.5263592793013331   ,                               , -29.0 , 37.0
       5, 2010-01-02, 2010-01-02 07:58:00, 2010-01-02 08:05:00, 2010-01-02 08:13:00, B6.4      , "(37, -29)"  ,              11039, "(37, -29)"                   , 515.2416886864969  , -436.1265060381767 , -0.48480962024633706, 0.5263592793013331   ,                               , -29.0 , 37.0
       6, 2010-01-02, 2010-01-02 09:01:00, 2010-01-02 09:10:00, 2010-01-02 09:23:00, B4.5      , "(39, -29)"  ,              11039, "(39, -29)"                   , 538.7424249063477  , -437.0415085780524 , -0.48480962024633706, 0.5504160161168588   ,                               , -29.0 , 39.0
       7, 2010-01-02, 2010-01-02 11:59:00, 2010-01-02 12:09:00, 2010-01-02 12:24:00, B4.8      , "(0, 0)"     ,                  0,                               ,                    ,                    ,                     ,                      ,                               ,       , 
       8, 2010-01-02, 2010-01-02 14:08:00, 2010-01-02 14:16:00, 2010-01-02 14:24:00, C2.6      , "(0, 0)"     ,                  0,                               ,                    ,                    ,                     ,                      ,                               ,       , 
       9, 2010-01-02, 2010-01-02 22:39:00, 2010-01-02 22:46:00, 2010-01-02 22:55:00, B4.3      , "(44, -27)"  ,              11039, "(44, -27)"                   , 605.7037806270382  , -408.1962847553074 , -0.4539904997395468 , 0.6189451401610268   ,                               , -27.0 , 44.0
      10, 2010-01-02, 2010-01-02 22:57:00, 2010-01-02 23:19:00, 2010-01-02 23:35:00, C3.1      , "(48, -32)"  ,              11039, "(48, -32)"                   , 616.5378332658984  , -486.2633196970432 , -0.5299192642332049 , 0.6302225544146036   ,                               , -32.0 , 48.0
      11, 2010-01-03, 2010-01-03 01:17:00, 2010-01-03 01:22:00, 2010-01-03 01:31:00, C2.0      , "(52, -30)"  ,              11039, "(52, -30)"                   , 667.5050739611244  , -458.74705835997   , -0.49999999999999994, 0.6824373310787413   ,                               , -30.0 , 52.0
      12, 2010-01-03, 2010-01-03 03:53:00, 2010-01-03 04:07:00, 2010-01-03 04:21:00, B6.1      , "(0, 0)"     ,              11039,                               ,                    ,                    ,                     ,                      ,                               ,       , 
