date,region_number,location,longitude,area,z_class,ll,num_spots
2010-01-01,1039,S28W21,054,0130,Dai,06,08
2010-01-02,1039,S27W35,054,0120,Dso,09,06
2010-01-03,1039,S28W46,052,0190,Dso,08,12
2010-01-04,1039,S29W59,052,0220,Dso,07,10
2010-01-05,1039,S28W72,052,0150,Dso,07,05
2010-01-06,1039,S29W90,056,0090,Dro,05,03
2010-01-08,1040,N28E59,241,0080,Bxo,05,05
2010-01-09,1040,N29E47,240,0040,Bxo,03,04
2010-01-10,1040,N30E35,239,0070,Cri,10,10
2010-01-11,1040,N30E18,243,0130,Eao,15,15
2010-01-12,1040,N29E10,237,0300,Dhc,09,25
2010-01-13,1040,N28W04,238,0300,Eao,12,25
2010-01-14,1040,N28W11,236,0380,Eki,13,31
2010-01-15,1040,N28W30,238,0290,Eki,13,24
2010-01-16,1040,N29W41,236,0350,Eki,13,16
2010-01-17,1040,N29W57,239,0290,Cki,12,14
2010-01-18,1040,N30W74,242,0160,Dso,08,06
2010-01-19,1040,N26W83,238,0140,Dho,05,04
2010-01-21,1041,S25E77,052,0060,Cso,10,06
2010-01-22,1041,S24E61,055,0190,Cao,11,07
2010-01-23,1041,S25E50,052,0200,Eso,14,07
2010-01-23,1042,N22W28,130,0040,Cso,04,03
2010-01-24,1041,S24E35,054,0190,Eai,11,09
2010-01-24,1042,N22W42,131,0190,Cao,07,11
2010-01-25,1041,S24E23,053,0170,Dsi,09,07
2010-01-25,1042,N21W56,132,0160,Dai,06,05
2010-01-26,1041,S25E12,052,0050,Cai,11,11
2010-01-26,1042,N18W73,137,0050,Cro,03,03
2010-01-27,1041,S24W03,053,0060,Dso,04,07
2010-01-27,1042,N18W86,136,0090,Hsx,05,01
2010-01-28,1041,S25W16,053,0040,Cso,04,05
2010-01-29,1041,S26W32,055,0030,Hsx,02,03
2010-01-30,1041,S27W42,052,0020,Bxo,02,02
2010-01-31,1041,S27W58,055,0010,Axx,01,01
2010-01-31,1043,N27E35,322,0040,Bxo,03,04
2010-02-01,1043,N25E24,320,0060,Dso,05,04
2010-02-02,1043,N25E10,321,0070,Cso,07,06
2010-02-03,1043,N25W05,322,0050,Hsx,01,01
2010-02-04,1043,N25W18,322,0050,Hsx,06,01
2010-02-05,1043,N26W33,324,0020,Hsx,01,01
2010-02-06,1043,N24W50,328,0020,Hax,01,01
2010-02-06,1044,N18W36,314,0010,Axx,01,01
2010-02-07,1043,N25W62,327,0020,Axx,01,01
2010-02-07,1045,N24E15,250,0290,Dkc,08,09
2010-02-08,1043,N23W73,325,0010,Axx,01,01
2010-02-08,1045,N23W01,253,0320,Fkc,19,18
2010-02-08,1046,N25E65,187,0030,Bxo,04,02
2010-02-09,1045,N23W17,256,0420,Fkc,20,35
2010-02-09,1046,N24E52,186,0030,Bxo,10,04
2010-02-09,1047,S15E70,169,0010,Axx,02,02
2010-02-10,1045,N23W26,252,0300,Fkc,19,25
2010-02-10,1046,N24E42,184,0010,Bxo,11,07
2010-02-10,1047,S17E61,165,0010,Axx,01,01
2010-02-11,1045,N22W39,252,0240,Fai,17,16
2010-02-11,1046,N24E28,185,0130,Dso,10,08
2010-02-11,1047,S18E43,170,0010,Axx,01,01
2010-02-12,1045,N22W52,252,0150,Fsi,17,11
2010-02-12,1046,N23E15,185,0190,Eac,12,33
2010-02-13,1045,N19W63,251,0090,Fso,22,05
2010-02-13,1046,N24E00,185,0130,Esc,11,13
2010-02-14,1045,N24W69,242,0100,Bxo,17,04
2010-02-14,1046,N23W11,184,0130,Cso,12,13
2010-02-15,1046,N24W23,183,0070,Cao,11,06
2010-02-15,1048,N20E64,096,0010,Bxo,05,02
2010-02-16,1046,N24W36,183,0040,Cao,06,04
2010-02-16,1048,N21E50,097,0010,Bxo,05,03
2010-02-17,1046,N22W49,183,0040,Cro,03,03
2010-02-17,1048,N21E34,100,0010,Bxo,03,05
2010-02-18,1046,N22W58,179,0030,Hsx,01,03
2010-02-18,1048,N20E24,097,0010,Axx,02,04
2010-02-18,1049,S19E02,119,0040,Dso,05,12
2010-02-19,1049,S19W13,121,0060,Dao,07,07
2010-02-20,1049,S19W25,120,0060,Dsi,08,13
2010-02-21,1049,S19W38,120,0060,Dsi,08,09
2010-02-22,1049,S18W53,121,0050,Cso,10,07
2010-02-23,1049,S18W67,122,0020,Cso,05,04
2010-02-24,1049,S18W78,120,0010,Bxo,09,03
2010-02-24,1050,S18W12,054,0020,Bxo,04,08
2010-02-25,1049,S19W91,120,0010,Bxo,05,02
2010-02-25,1050,S19W27,055,0010,Bxo,05,05
2010-02-25,1051,N17E66,322,0100,Cao,09,03
2010-02-26,1050,S19W40,055,0020,Bxo,06,07
2010-02-26,1051,N16E54,321,0010,Bxo,06,03
2010-02-27,1050,S19W52,054,0030,Bxo,02,03
2010-02-27,1051,N15E41,321,0040,Cso,02,03
2010-02-28,1050,S18W64,053,0000,Axx,00,02
2010-02-28,1051,N15E27,322,0030,Cao,06,04
2010-03-01,1051,N15E12,324,0010,Hsx,01,03
2010-03-02,1051,N16W01,323,0010,Hsx,01,01
2010-03-02,1052,S18W26,348,0020,Bxo,04,03
2010-03-02,1053,S22W38,360,0020,Bxo,04,02
2010-03-03,1051,N16W14,323,0010,Hsx,01,01
2010-03-03,1052,S18W41,350,0020,Cso,05,04
2010-03-03,1053,S23W51,360,0030,Cso,05,04
2010-03-04,1051,N15W28,324,0010,Axx,02,02
2010-03-04,1052,S17W56,352,0010,Bxo,03,03
2010-03-04,1053,S22W62,358,0010,Bxo,04,04
2010-03-05,1051,N16W41,324,0010,Axx,01,01
2010-03-05,1052,S17W70,353,0040,Cro,07,05
2010-03-05,1053,S22W77,360,0040,Cro,08,04
2010-03-06,1051,N16W53,323,0010,Axx,01,01
2010-03-06,1052,S16W82,352,0010,Bxo,08,03
2010-03-06,1053,S22W89,359,0010,Axx,01,01
2010-03-11,1054,N12E56,148,0010,Bxo,03,02
2010-03-12,1054,N15E43,148,0110,Dso,06,07
2010-03-12,1055,S23W15,206,0030,Cso,03,04
2010-03-13,1054,N15E29,148,0190,Dao,07,12
2010-03-13,1055,S24W27,204,0030,Cso,03,04
2010-03-14,1054,N15E15,149,0230,Esc,11,22
2010-03-15,1054,N14E01,149,0230,Esi,13,20
2010-03-16,1054,N14W14,151,0240,Eai,14,18
2010-03-17,1054,N15W25,149,0090,Dai,09,11
2010-03-18,1054,N15W37,148,0070,Cai,07,04
2010-03-18,1056,N17E47,064,0020,Bxo,05,04
2010-03-19,1054,N16W55,153,0040,Bxo,05,03
2010-03-19,1056,N18E34,064,0050,Bxo,06,05
2010-03-20,1054,N16W71,156,0010,Hsx,01,01
2010-03-20,1056,N18E22,063,0010,Bxo,02,03
2010-03-21,1054,N16W82,154,0010,Axx,01,01
2010-03-21,1056,N18E07,065,0030,Bxo,04,04
2010-03-22,1056,N18W06,065,0070,Csi,07,15
2010-03-23,1056,N19W21,067,0050,Bxo,08,07
2010-03-24,1056,N18W34,066,0005,Bxo,07,03
2010-03-24,1057,N16E73,319,0005,Bxo,07,03
2010-03-25,1057,N16E57,322,0240,Dac,06,05
2010-03-26,1057,N15E45,321,0400,Dhc,07,04
2010-03-26,1058,N27W06,012,0001,Axx,01,01
2010-03-27,1057,N15E30,323,0320,Dki,08,06
2010-03-27,1058,N25W21,014,0005,Axx,01,01
2010-03-28,1057,N15E16,324,0380,Dhi,08,09
2010-03-28,1059,S21E73,267,0120,Hsx,02,01
2010-03-29,1057,N15E04,322,0410,Eki,11,12
2010-03-29,1059,S22E61,265,0100,Hax,02,01
2010-03-30,1057,N15W10,324,0290,Dki,10,11
2010-03-30,1059,S23E48,265,0150,Hsx,02,01
2010-03-31,1057,N15W22,322,0260,Dhi,10,10
2010-03-31,1059,S23E36,264,0130,Hax,02,02
2010-04-01,1057,N16W35,322,0250,Cko,09,02
2010-04-01,1059,S22E23,264,0070,Hax,02,01
2010-04-02,1057,N15W45,320,0190,Cao,02,03
2010-04-02,1059,S22E10,264,0050,Hsx,02,02
2010-04-03,1057,N16W59,320,0250,Hhx,04,04
2010-04-03,1059,S23W03,264,0040,Cso,02,04
2010-04-04,1057,N16W72,319,0200,Hsx,03,03
2010-04-04,1059,S22W15,262,0050,Hsx,04,04
2010-04-05,1057,N16W84,318,0090,Hsx,05,03
2010-04-05,1059,S23W28,262,0030,Hsx,03,03
2010-04-05,1060,N24E58,176,0090,Dro,04,04
2010-04-06,1059,S25W40,261,0030,Hax,03,03
2010-04-06,1060,N25E45,176,0060,Cro,05,04
2010-04-06,1061,N14W11,232,0050,Dso,04,04
2010-04-07,1059,S25W51,259,0010,Axx,02,02
2010-04-07,1060,N26E32,176,0030,Cro,07,03
2010-04-07,1061,N14W24,232,0110,Dso,06,06
2010-04-08,1060,N24E14,181,0010,Axx,01,01
2010-04-08,1061,N13W39,234,0070,Dso,07,04
2010-04-09,1060,N25E00,181,0000,Axx,01,01
2010-04-09,1061,N14W52,233,0050,Cso,05,02
2010-04-10,1061,N13W69,237,0040,Hsx,01,01
2010-04-11,1061,N13W83,238,0010,Axx,01,01
2010-04-13,1062,S18W05,134,0010,Bxo,03,04
2010-04-14,1062,S18W20,135,0020,Cro,04,04
2010-04-15,1062,S18W34,136,0010,Bxo,02,02
2010-04-29,1063,N16E14,264,0010,Bxo,02,02
2010-05-01,1064,N15E28,223,0020,Bxo,02,02
2010-05-02,1064,N16E15,223,0010,Cro,03,03
2010-05-03,1064,N15E02,223,0000,Axx,01,01
2010-05-03,1065,S32W16,241,0000,Axx,01,01
2010-05-03,1066,S27E16,209,0000,Axx,01,01
2010-05-03,1067,N23E55,170,0020,Bxo,05,04
2010-05-04,1063,N18W52,264,0010,Bxo,03,02
2010-05-04,1065,S32W29,241,0000,Axx,01,01
2010-05-04,1066,S27E05,207,0020,Cro,05,05
2010-05-04,1067,N23E38,174,0020,Cso,04,02
2010-05-04,1068,S19E76,135,0000,Axx,01,01
2010-05-05,1063,N18W66,264,0010,Bxo,03,03
2010-05-05,1066,S26W07,205,0010,Bxo,06,03
2010-05-05,1067,N23E24,174,0020,Dro,06,03
2010-05-05,1068,S19E65,133,0010,Bxo,01,02
2010-05-05,1069,N42W27,225,0050,Dai,07,09
2010-05-06,1063,N18W80,264,0010,Bxo,01,02
2010-05-06,1066,S26W22,206,0010,Axx,01,01
2010-05-06,1067,N23E13,171,0010,Bxo,05,03
2010-05-06,1068,S21E54,130,0010,Axx,01,01
2010-05-06,1069,N41W40,224,0170,Dai,09,07
2010-05-06,1070,N21W08,192,0010,Bxo,02,03
2010-05-07,1067,N23E03,168,0010,Bxo,02,02
2010-05-07,1068,S20E41,130,0010,Bxo,03,04
2010-05-07,1069,N42W51,222,0080,Esi,12,09
2010-05-08,1068,S19E28,130,0000,Axx,00,01
2010-05-08,1069,N42W67,225,0030,Cso,09,03
2010-05-09,1069,N41W78,223,0030,Cso,03,02
2010-05-09,1071,S20W42,187,0000,Axx,01,01
2010-05-22,1072,S16E14,319,0030,Bxo,04,05
2010-05-23,1072,S16E08,312,0100,Cao,06,10
2010-05-24,1072,S15W09,315,0130,Dsi,06,13
2010-05-25,1072,S15W22,315,0090,Cso,06,07
2010-05-26,1072,S15W36,316,0060,Cso,05,06
2010-05-27,1072,S23W52,319,0050,Hsx,02,01
2010-05-28,1072,S15W65,318,0040,Hsx,02,01
2010-05-29,1072,S15W79,319,0045,Hax,02,02
2010-05-30,1073,N13E35,192,0020,Bxo,04,05
2010-05-30,1074,N19W57,284,0010,Bxo,03,03
2010-05-30,1075,S20W02,229,0020,Bxo,03,05
2010-05-31,1073,N13E21,193,0020,Bxo,04,06
2010-05-31,1074,N17W72,286,0010,Axx,01,02
2010-05-31,1075,S20W16,230,0010,Bxo,03,02
2010-06-01,1073,N12E09,192,0010,Bxo,05,03
2010-06-01,1075,S19W32,233,0000,Axx,01,01
2010-06-01,1076,S19E07,194,0020,Bxo,04,05
2010-06-02,1076,S20W06,193,0020,Bxo,05,04
2010-06-03,1076,S19W22,196,0040,Dai,06,08
2010-06-04,1076,S27W28,189,0190,Dho,08,07
2010-06-05,1076,S19W49,197,0070,Dso,08,08
2010-06-06,1076,S19W61,196,0015,Bxo,07,04
2010-06-06,1077,N20W47,181,0010,Axx,01,01
2010-06-07,1076,S19W74,195,0090,Dro,05,02
2010-06-08,1076,S19W86,193,0020,Bxo,01,02
2010-06-09,1078,S22W45,140,0080,Cro,07,02
2010-06-10,1078,S21W60,141,0180,Dsi,09,06
2010-06-10,1079,S26W36,117,0010,Bxo,04,02
2010-06-11,1078,S22W73,141,0200,Dao,09,05
2010-06-11,1079,S26W55,123,0000,Axx,00,01
2010-06-11,1080,S25W39,107,0010,Bxo,04,05
