id,goes_class,noaa_active_region,peak_time,start_time,end_time,ssw_location,fl_location,fl_lat,fl_lon,x_hpc,y_hpc
gev_20091223_0336,B8.6,,2009-12-23 03:56:00,2009-12-23 03:36:00,2009-12-23 04:05:00,POINT(54 16),POINT(54 16),16.0,54.0,760.352008308263,288.02762310385003
gev_20091223_0945,B1.6,,2009-12-23 09:51:00,2009-12-23 09:45:00,2009-12-23 09:54:00,POINT(66 -29),POINT(66 -29),-29.0,66.0,780.5398129434775,-461.37649850435685
gev_20091223_1009,C6.4,,2009-12-23 10:17:00,2009-12-23 10:09:00,2009-12-23 10:20:00,POINT(61 -27),POINT(61 -27),-27.0,61.0,761.5543943248096,-428.8650339954362
gev_20091223_1126,B3.2,,2009-12-23 11:33:00,2009-12-23 11:26:00,2009-12-23 11:46:00,POINT(69 -27),POINT(69 -27),-27.0,69.0,812.4621198043696,-432.38669033705594
gev_20091223_1241,B3.5,,2009-12-23 12:48:00,2009-12-23 12:41:00,2009-12-23 12:50:00,POINT(66 -24),POINT(66 -24),-24.0,66.0,815.3356350443657,-384.5491412231252
gev_20091225_2313,B1.0,,2009-12-25 23:26:00,2009-12-25 23:13:00,2009-12-25 23:40:00,POINT(-56 -28),POINT(-56 -28),-28.0,-56.0,-715.6614298596978,-439.3811143351661
gev_20091226_0725,B1.4,,2009-12-26 07:30:00,2009-12-26 07:25:00,2009-12-26 07:39:00,POINT(-50 -27),POINT(-50 -27),-27.0,-50.0,-667.5794122517109,-420.9229670603193
gev_20091226_0854,B1.9,,2009-12-26 09:00:00,2009-12-26 08:54:00,2009-12-26 09:20:00,POINT(-54 -29),POINT(-54 -29),-29.0,-54.0,-691.8759937789291,-453.1790918017402
gev_20091226_1217,B1.0,,2009-12-26 12:20:00,2009-12-26 12:17:00,2009-12-26 12:23:00,POINT(-48 -26),POINT(-48 -26),-26.0,-48.0,-653.3775382032618,-404.317288015392
gev_20091226_1651,B4.8,,2009-12-26 16:57:00,2009-12-26 16:51:00,2009-12-26 17:05:00,POINT(-43 -27),POINT(-43 -27),-27.0,-43.0,-594.5714379944839,-417.40774311279773
gev_20091226_1809,B1.7,,2009-12-26 18:12:00,2009-12-26 18:09:00,2009-12-26 18:15:00,POINT(-46 -28),POINT(-46 -28),-28.0,-46.0,-621.344497522572,-433.9471099113131
gev_20091226_1838,B4.6,,2009-12-26 18:43:00,2009-12-26 18:38:00,2009-12-26 18:48:00,POINT(-43 -27),POINT(-43 -27),-27.0,-43.0,-594.573715128703,-417.3060253158363
gev_20091227_0721,B2.9,,2009-12-27 07:30:00,2009-12-27 07:21:00,2009-12-27 07:33:00,POINT(-36 -27),POINT(-36 -27),-27.0,-36.0,-512.619691849919,-413.8255633662698
gev_20091227_1128,B7.6,,2009-12-27 11:39:00,2009-12-27 11:28:00,2009-12-27 11:57:00,POINT(-34 -26),POINT(-34 -26),-26.0,-34.0,-492.00534196943045,-397.3127794134757
gev_20091230_2300,B4.8,,2009-12-30 23:03:00,2009-12-30 23:00:00,2009-12-30 23:08:00,POINT(9 -28),POINT(9 -28),-28.0,9.0,135.31168717530267,-416.33506640504044
gev_20091230_2348,B2.3,,2009-12-30 23:51:00,2009-12-30 23:48:00,2009-12-30 23:53:00,POINT(11 -27),POINT(11 -27),-27.0,11.0,166.55269289136834,-401.00562178088967
gev_20091230_2354,B1.6,,2009-12-31 00:02:00,2009-12-30 23:54:00,2009-12-31 00:08:00,POINT(12 -26),POINT(12 -26),-26.0,12.0,183.0706540829773,-385.49984464461375
gev_20091231_0042,B2.6,,2009-12-31 00:48:00,2009-12-31 00:42:00,2009-12-31 01:00:00,POINT(10 -27),POINT(10 -27),-27.0,10.0,151.57559959744876,-400.8034517689275
gev_20091231_0107,B3.1,,2009-12-31 01:12:00,2009-12-31 01:07:00,2009-12-31 01:16:00,POINT(10 -27),POINT(10 -27),-27.0,10.0,151.575663190437,-400.7721278080189
gev_20091231_0330,B2.6,,2009-12-31 04:17:00,2009-12-31 03:30:00,2009-12-31 04:39:00,POINT(17 -26),POINT(17 -26),-26.0,17.0,257.4163685227599,-386.168178172538
gev_20091231_0742,B2.9,,2009-12-31 07:47:00,2009-12-31 07:42:00,2009-12-31 07:50:00,POINT(13 -29),POINT(13 -29),-29.0,13.0,192.7256705573635,-431.6463459707823
gev_20091231_1024,B1.9,,2009-12-31 10:27:00,2009-12-31 10:24:00,2009-12-31 10:29:00,POINT(16 -28),POINT(16 -28),-28.0,16.0,238.3952193056479,-416.6097907868185
gev_20091231_1054,B1.6,,2009-12-31 10:59:00,2009-12-31 10:54:00,2009-12-31 11:06:00,POINT(16 -27),POINT(16 -27),-27.0,16.0,240.57916184973226,-401.0527102501004
gev_20091231_1115,B1.9,,2009-12-31 11:20:00,2009-12-31 11:15:00,2009-12-31 11:31:00,POINT(18 -29),POINT(18 -29),-29.0,18.0,264.7239300524928,-432.3713415164679
gev_20091231_1429,B1.3,,2009-12-31 14:32:00,2009-12-31 14:29:00,2009-12-31 14:51:00,POINT(17 -28),POINT(17 -28),-28.0,17.0,252.8641852400638,-416.52600108412054
gev_20091231_1537,B1.5,,2009-12-31 15:42:00,2009-12-31 15:37:00,2009-12-31 15:46:00,POINT(17 -28),POINT(17 -28),-28.0,17.0,252.86442742046805,-416.44415611432686
gev_20091231_1902,B1.8,,2009-12-31 19:06:00,2009-12-31 19:02:00,2009-12-31 19:10:00,POINT(23 -31),POINT(23 -31),-31.0,23.0,327.9843084130031,-463.47498343244604
gev_20100101_1202,B1.9,,2010-01-01 12:09:00,2010-01-01 12:02:00,2010-01-01 12:18:00,POINT(31 -29),POINT(31 -29),-29.0,31.0,441.0509171169084,-434.74158375950185
gev_20100101_1233,B2.3,,2010-01-01 12:43:00,2010-01-01 12:33:00,2010-01-01 13:00:00,POINT(34 -24),POINT(34 -24),-24.0,34.0,500.18315739029396,-357.98040505982215
